object_id,ra,dec,flux_y_sersic,flux_j_sersic,flux_h_sersic,spe_class,spe_qso_prob,spe_z
-536552911280226337,53.65529112155412,-28.02263379461818,42.23373,48.01606,49.27473,qso,1,5.816255
-533016693280226731,53.30166931751181,-28.02267311971315,68.28502,86.44771,105.70668,qso,1,5.12458
-535987646279994910,53.59876466501312,-27.99949104817398,3.7000952,5.1873536,5.9330807,qso,1,6.5180755
-534263345279910449,53.4263345333144,-27.99104495470421,11.216612,13.488858,17.226345,qso,1,5.6081924
-534178361279699005,53.41783615525436,-27.96990053787351,23.16906,36.912888,56.31847,qso,1,4.699111
-534167492279685558,53.41674928132193,-27.96855585062936,25.72478,28.800344,32.584393,qso,1,4.569527
-536580436279648160,53.65804364545613,-27.9648160040956,22.188211,33.42673,48.35915,qso,1,6.3839607
-534942323279603922,53.494232395932,-27.96039226709654,5.440413,6.122438,6.424142,qso,1,7.6478453
-533758467279337902,53.3758467387871,-27.93379022302135,2.440693,3.490497,4.009252,qso,1,3.5736437
-533935937279270870,53.39359376668008,-27.92708707027224,1.995016,4.032077,5.4768333,qso,1,1.813165
-534141832279215769,53.41418328807893,-27.92157698990086,2.9286737,6.5106564,10.181041,qso,1,5.647961
-534080862279232874,53.40808628074821,-27.92328748501517,3.9576263,6.28264,10.745952,qso,1,5.6946597
-534079316279244950,53.40793162813422,-27.9244950454405,2.9279628,4.5185018,6.121159,qso,1,5.7080626
-533983009279224161,53.39830095434178,-27.92241615044421,5.7679477,9.868789,13.581428,qso,1,1.0285275
-533895678279245637,53.38956784566439,-27.92456370172241,3.3454769,4.917656,5.68759,qso,1,1.6974589
-533297080279155539,53.32970804099076,-27.91555398525763,3.6742902,5.0682964,4.7131815,qso,1,5.6081924
-533901838279080855,53.39018380783043,-27.9080855825699,9.492268,12.195918,15.621687,qso,1,4.5030923
-533808528279006135,53.38085282639707,-27.90061350273462,8.642852,10.878303,11.475985,qso,1,5.0575786
-533654935278995487,53.36549353738889,-27.89954878352939,2.6468644,3.7008705,5.260378,qso,1,4.796824
-536410152278976834,53.64101524109172,-27.89768343140607,7.907409,9.537591,10.246834,qso,1,4.541749
-533797453278967609,53.37974535119327,-27.89676098951651,5.5325365,11.30571,24.301231,qso,1,5.1799498
-535937959278864343,53.5937959029845,-27.88643439512407,23.886396,34.18567,48.045822,qso,1,1.8414378
-533025506278896337,53.3025506422494,-27.88963374592914,4.6410813,9.76391,16.12476,qso,1,4.5141096
-532994635278899699,53.29946359084741,-27.88996993905383,11.061842,12.952015,16.153008,qso,1,4.53621
-533804205278739414,53.38042056608339,-27.8739414075107,5.5637894,8.150862,13.20844,qso,1,7.7085924
-533666466278778048,53.36664661583989,-27.87780483785093,4.916417,6.5784206,7.9566007,qso,1,6.80926
-533125547278777596,53.31255473433623,-27.87775964555922,31.708675,43.246555,54.03684,qso,1,1.3521038
-536247731278682576,53.62477311889295,-27.86825760014666,1.5676544,2.4774625,3.7273953,qso,1,7.699888
-535947923278704749,53.59479239666785,-27.87047490917532,11.223423,18.601395,26.856213,qso,1,4.79103
-534222600278684908,53.4222600090004,-27.86849082428195,7.5012674,8.544944,10.224131,qso,1,1.5710392
-533817985278698418,53.38179852531418,-27.86984185307879,5.582218,7.4980903,10.984342,qso,1,7.451215
-535907477278624293,53.5907477665122,-27.86242936522032,4.500143,7.1002126,9.119693,qso,1,7.5020742
-535533835278596068,53.55338358083641,-27.85960683920472,7.7576785,9.511074,12.112144,qso,1,6.080257
-533699084278658471,53.36990849395854,-27.86584712690652,5.6158843,8.231321,9.727921,qso,1,2.5159514
-533674108278617138,53.36741084814076,-27.8617138070358,7.240078,10.248475,15.933377,qso,1,4.085077
-533669916278607178,53.36699168183721,-27.86071786512396,4.111568,8.33284,13.720843,qso,1,7.991774
-534151189278533644,53.41511891401228,-27.85336445438154,4.481374,6.31914,8.450922,qso,1,5.0273666
-533905825278553063,53.39058256979598,-27.85530636218942,3.558357,4.756839,5.640269,qso,1,5.9261923
-533730671278549153,53.37306710858576,-27.85491531503766,3.0124378,3.6526258,4.697628,qso,1,1.1218963
-533761023278524978,53.37610231743118,-27.85249787902517,5.144434,8.539927,12.647672,qso,1,6.080257
-535785871278416183,53.57858716350302,-27.84161837681188,20.40618,26.810198,35.151386,qso,1,6.7625446
-533457884278420097,53.34578844645949,-27.84200976939075,2.9574997,3.493122,4.1927567,qso,1,7.973809
-535519690278351958,53.55196900318099,-27.83519586679256,31.864449,41.06669,49.55253,qso,1,7.176876
-533584214278386772,53.35842141673131,-27.83867727044458,5.164625,5.550162,6.129023,qso,1,5.667935
-533417366278228924,53.34173666148017,-27.82289248287857,1.0355263,2.2474132,7.2345557,qso,1,7.1279616
-532733902278239076,53.27339020303886,-27.82390764291231,3.1165874,4.5083036,6.223542,qso,1,1.3170856
-533974795278092925,53.39747953073434,-27.80929253515345,7.5635705,13.513077,21.194427,qso,1,5.555538
-534490485278045932,53.4490485638654,-27.80459327120569,15.094835,20.451948,28.431192,qso,1,6.7006917
-533620250277954055,53.36202505157043,-27.79540556700085,9.689035,11.640416,11.379719,qso,1,4.866805
-535685302278274874,53.56853021567515,-27.82748741084028,5.4077106,6.4406734,6.424017,qso,1,1.7055634
-533431778277969829,53.34317780868774,-27.79698293425624,20.504103,24.865808,30.064774,qso,1,4.8317094
